,n_neurons,has_filters,n_layers,n_filters,data_size,min_delta,score,accuracy_best,accuracy_last,epochs
0,115,False,1,92,55973,0.0008292034337437,0.5910630822181702,0.682745099067688,0.682745099067688,11
1,173,False,2,65,69616,1.5284944182753756e-06,0.5927306413650513,0.6812681555747986,0.6812681555747986,5
2,261,False,1,12,92986,0.0441906432795201,0.5927781462669373,0.681425154209137,0.681425154209137,2
3,287,True,1,965,64884,4.770274140391498e-05,0.5934178233146667,0.6807777285575867,0.6807777285575867,21
4,389,False,1,64,35386,1.3087493740722191e-06,0.593488335609436,0.6811866164207458,0.6811866164207458,12
5,136,False,2,2834,18911,4.066879879140328e-06,0.5936561822891235,0.6803540587425232,0.6803540587425232,12
6,415,True,1,557,47436,2.795775199748674e-06,0.5939320921897888,0.6802919507026672,0.6802919507026672,19
7,106,False,1,2252,29462,0.0939845697123792,0.5942715406417847,0.6794948577880859,0.6794948577880859,5
8,4604,True,1,176,68062,1.5512306109526253e-06,0.595973789691925,0.6779851913452148,0.6779851913452148,17
9,83,True,2,471,20898,0.0002457434315155,0.5968953967094421,0.6768059134483337,0.6768059134483337,19
10,827,False,3,3653,81847,0.0119265599005365,0.597258448600769,0.6770488619804382,0.6770488619804382,9
11,72,False,3,4276,80721,1.2315807404281305e-05,0.5974539518356323,0.6760680079460144,0.6760680079460144,7
12,1298,False,1,62,18040,5.342967876719187e-05,0.597923219203949,0.6765422821044922,0.6765422821044922,16
13,310,False,3,147,40717,0.0403092172396861,0.5981006622314453,0.6754711270332336,0.6754711270332336,5
14,686,True,2,1270,91707,0.0142798532319172,0.5985850691795349,0.675828218460083,0.675828218460083,5
15,374,True,2,89,36745,0.0061884846924439,0.5987169146537781,0.6742755174636841,0.6742755174636841,5
16,89,True,2,398,25149,0.0030523092083597,0.5992411971092224,0.6747793555259705,0.6747793555259705,8
17,190,True,3,212,28806,0.0266372279834431,0.5993925333023071,0.6738948225975037,0.6738948225975037,5
18,1444,False,3,963,57206,0.0001338766199585,0.599481463432312,0.6743910908699036,0.6743910908699036,15
19,236,False,1,663,12199,0.0456063934824211,0.5996075868606567,0.6752207279205322,0.6752207279205322,5
20,5703,False,3,445,48243,0.0013482192336933,0.5996488928794861,0.6748325824737549,0.6748325824737549,19
21,12115,True,2,1231,57315,6.980846057186868e-05,0.6000744700431824,0.6739436984062195,0.6739436984062195,11
22,9362,True,1,177,89964,0.0118469932473082,0.6004930734634399,0.6741645336151123,0.6741645336151123,3
23,685,True,2,401,8426,2.853102081905637e-06,0.6012502908706665,0.673491895198822,0.673491895198822,44
24,67,True,2,2862,13118,3.376035743467975e-06,0.6018756628036499,0.6716888546943665,0.6716888546943665,44
25,61,False,1,6233,34575,0.0022313144688227,0.6029257774353027,0.6699704527854919,0.6699704527854919,5
26,3946,True,1,580,9597,1.5901363186600867e-06,0.6036684513092041,0.6712028980255127,0.6712028980255127,22
27,521,True,1,2675,8188,0.0004385856451977,0.6051592826843262,0.6698710918426514,0.6698710918426514,21
28,499,False,3,153,5612,0.0004016261340588,0.6068606972694397,0.6676726341247559,0.6676726341247559,32
29,61,True,1,69,6932,1.5187878015040245e-06,0.6074787974357605,0.6660014986991882,0.6660014986991882,28
30,494,True,3,187,9512,0.0009424984927831,0.6080167889595032,0.6660977602005005,0.6660977602005005,12
31,1009,False,1,52,8483,0.04116398367154,0.6087353229522705,0.6682207584381104,0.6682207584381104,5
32,49,False,3,7265,17927,2.0895049365310598e-06,0.6091922521591187,0.6635733246803284,0.6635733246803284,35
33,60,True,2,676,7203,2.8555560254818297e-05,0.6093714833259583,0.6641644835472107,0.6641644835472107,29
34,273,True,3,1032,10515,0.069466301183097,0.6093790531158447,0.6646813750267029,0.6646813750267029,4
35,338,False,1,8072,4879,1.2348057043568858e-05,0.6095456480979919,0.6668089032173157,0.6668089032173157,4
36,376,True,3,894,11392,0.0029124425005467,0.6111305952072144,0.6626415252685547,0.6626415252685547,6
37,3765,True,1,53,12383,2.6607420027528254e-06,0.6121402382850647,0.6610104441642761,0.6610104441642761,11
38,3954,False,1,1827,16132,0.020141595878239,0.6146771907806396,0.6615452766418457,0.6615452766418457,5
39,10907,False,3,106,6676,2.317927671441129e-06,0.6146774291992188,0.6619526743888855,0.6619526743888855,8
40,455,False,3,238,4004,0.009062306801805,0.6157071590423584,0.6603349447250366,0.6603349447250366,5
41,3028,True,3,765,11150,1.463279771442535e-05,0.6174143552780151,0.6566755771636963,0.6566755771636963,20
42,40,False,1,479,14778,0.0057728866860926,0.6185969114303589,0.6543142199516296,0.6543142199516296,6
43,38,True,3,117,19582,1.655309402830427e-05,0.6186307668685913,0.6536489725112915,0.6536489725112915,40
44,3442,False,2,4193,21896,0.0480228851726189,0.6197096705436707,0.6564978957176208,0.6564978957176208,4
45,170,True,3,2158,3241,0.0001248052972065,0.6197760701179504,0.656432569026947,0.656432569026947,13
46,15585,True,2,278,13122,0.0262137393220318,0.6199188828468323,0.6548741459846497,0.6548741459846497,6
47,677,False,1,77,3186,3.672376741991256e-06,0.6204562783241272,0.657240092754364,0.657240092754364,3
48,42,True,3,9325,6591,2.0295385517424595e-05,0.6210833787918091,0.6516119241714478,0.6516119241714478,34
49,19069,False,1,125,10580,0.0020693872390411,0.6227152347564697,0.6588843464851379,0.6588843464851379,11
50,24118,False,2,13,9343,0.0950554015064858,0.6233370900154114,0.6548206210136414,0.6548206210136414,2
51,30,False,3,2921,31480,2.6122745852012194e-06,0.6238980889320374,0.6484177708625793,0.6484177708625793,62
52,32,True,3,88,62456,0.0001731695398889,0.624031662940979,0.648425281047821,0.648425281047821,11
53,10913,True,2,142,4572,0.0001620549847588,0.6245326399803162,0.6507599949836731,0.6507599949836731,26
54,32,False,2,71,18467,0.0048113508399328,0.6247268915176392,0.6477481722831726,0.6477481722831726,10
55,17371,False,2,41,4987,0.0002024590998201,0.624772846698761,0.652795672416687,0.652795672416687,8
56,2416,False,2,1451,5213,0.0511754514108969,0.6250842809677124,0.6519391536712646,0.6519391536712646,3
57,204,False,2,422,2186,1.1382679254847577e-05,0.6253325343132019,0.6541452407836914,0.6541452407836914,8
58,30,True,1,130,15046,2.290893513122794e-05,0.6264932751655579,0.6461939811706543,0.6461939811706543,12
59,452,True,3,5427,3411,0.0014412529203177,0.6267207264900208,0.6473126411437988,0.6473126411437988,16
60,134,True,1,301,2128,6.033516342160822e-05,0.6272960305213928,0.6512872576713562,0.6512872576713562,7
61,28,True,1,146,34530,0.0063305692314694,0.628147304058075,0.6439660787582397,0.6439660787582397,6
62,249,True,2,182,1861,3.081107107919589e-06,0.6297960877418518,0.6480873823165894,0.6480873823165894,6
63,629,False,2,8484,2157,0.03994346822914,0.633245050907135,0.6494235396385193,0.6494235396385193,2
64,26,False,3,305,5826,0.0008873517809646,0.63491290807724,0.6360756158828735,0.6360756158828735,38
65,348,True,3,7879,2105,1.1279605072115925e-06,0.6356945633888245,0.6420770883560181,0.6420770883560181,17
66,1294,True,1,97,1559,6.95657842658607e-06,0.6367493271827698,0.6431778073310852,0.6431778073310852,6
67,66,True,1,1666,1909,0.0329647093209891,0.6384928822517395,0.6389157176017761,0.6389157176017761,9
68,26,True,3,62,3749,6.769897667989583e-05,0.638800323009491,0.6320844888687134,0.6320844888687134,78
69,28889,True,1,24,17673,0.0214186642142084,0.6419934034347534,0.6280742287635803,0.6280742287635803,3
70,26955,False,1,1795,5559,0.0069232886823742,0.6424596905708313,0.6427881121635437,0.6427881121635437,8
71,3091,True,1,6104,21442,1.1829493482549662e-05,0.642704427242279,0.640878438949585,0.640878438949585,3
72,21,False,3,16,13810,0.000349889566838,0.6477518081665039,0.6199081540107727,0.6199081540107727,14
73,19148,True,3,411,1439,0.0159524363221913,0.6508826017379761,0.6364414691925049,0.6364414691925049,4
74,8437,True,2,19,7269,8.922239836974564e-06,0.652893602848053,0.6122058033943176,0.6122058033943176,10
75,9166,False,2,97,2421,0.004684170745385,0.654549241065979,0.6320711374282837,0.6320711374282837,4
76,27,False,3,13,1616,0.0010039488932305,0.6550107002258301,0.6131021976470947,0.6131021976470947,59
77,481,True,2,16,68353,0.0032567538501307,0.6572078466415405,0.6050815582275391,0.6050815582275391,4
78,69,True,1,15,23655,1.76702900863212e-05,0.6591879725456238,0.6030178070068359,0.6030178070068359,7
79,48,True,2,982,1893,0.0753912037786184,0.6611227989196777,0.6037110686302185,0.6037110686302185,5
80,1828,False,1,3685,1221,0.0005267181584001,0.6621730327606201,0.6207348108291626,0.6207348108291626,2
81,267,True,1,5660,1265,2.3072842524072937e-05,0.663572371006012,0.6289941668510437,0.6289941668510437,4
82,1995,True,3,13,11827,0.0308549798758325,0.6657307744026184,0.5925911068916321,0.5925911068916321,5
83,3103,False,1,1341,1316,0.0831780136889311,0.6683360934257507,0.6245511770248413,0.6245511770248413,2
84,156,True,3,62,971,0.0002647506524121,0.6687912344932556,0.608570396900177,0.608570396900177,12
85,8626,True,3,5899,782,1.2159489917904867e-06,0.669015109539032,0.6062014102935791,0.6062014102935791,6
86,1394,True,1,11,1027,0.0003083936137503,0.6789839863777161,0.5713882446289062,0.5713882446289062,29
87,133,False,3,23,686,0.0001438120936248,0.6894110441207886,0.5747836828231812,0.5747836828231812,8
88,270,True,1,24,609,0.0015468523615469,0.6898688077926636,0.5403317809104919,0.5403317809104919,5
89,106,False,1,80,655,2.362259691159072e-05,0.6900774836540222,0.5796784162521362,0.5796784162521362,15
90,105,True,3,162,594,0.0189308021295426,0.6902679204940796,0.5433467030525208,0.5433467030525208,3
91,3838,True,2,10,500,1e-06,0.6959410905838013,0.5255125164985657,0.5255125164985657,2
92,1108,True,1,8935,750,8.591044900285135e-05,0.6963592767715454,0.5802237391471863,0.5802237391471863,1
93,209,False,3,55,568,0.00032793807326,0.6987438201904297,0.5614576935768127,0.5614576935768127,4
94,3560,False,2,3111,855,0.001403780900055,0.7293998003005981,0.6143020987510681,0.6143020987510681,1
95,4138,False,2,477,707,4.556925570759466e-06,0.7703694105148315,0.5861837863922119,0.5861837863922119,0
96,13250,False,2,317,770,0.0042626260141971,0.9510237574577332,0.605073869228363,0.605073869228363,2
